time,speed
38:37.6,1.100016761
38:37.7,1.090955018
38:37.8,1.0926760954999999
38:37.9,1.094284011
38:38.0,1.0923948165000001
38:38.1,1.1018679859999998
38:38.2,1.0985988230000001
38:38.3,1.1004798894999999
38:38.4,1.1080109
38:38.5,1.1081983599999998
38:38.6,1.087395086
38:38.7,1.08316321
38:38.8,1.0762220089999999
38:38.9,1.06206436
38:39.0,1.052404759
38:39.1,1.052338451
38:39.2,1.045252038
38:39.3,1.010044267
38:39.4,0.9756353504999999
38:39.5,0.9843963275000001
38:39.6,0.984683941
38:39.7,0.984159338
38:39.8,0.9974820870000001
38:39.9,1.012628855
38:40.0,1.026432002
38:40.1,1.054400387
38:40.2,1.073071774
38:40.3,1.072744787
38:40.4,1.080917716
38:40.5,1.084180703
38:40.6,1.104840578
38:40.7,1.121090397
38:40.8,1.135398946
38:40.9,1.139833876
38:41.0,1.1475687374999999
38:41.1,1.138369766
38:41.2,1.131935736
38:41.3,1.1400284735000001
38:41.4,1.135257278
38:41.5,1.123351853
38:41.6,1.122072686
38:41.7,1.119449092
38:41.8,1.109541644
38:41.9,1.12195891
38:42.0,1.126680779
38:42.1,1.1313744940000001
38:42.2,1.133679888
38:42.3,1.122802429
38:42.4,1.111481665
38:42.5,1.112561935
38:42.6,1.099995488
38:42.7,1.085239769
38:42.8,1.084550567
38:42.9,1.074668875
38:43.0,1.0637448145000001
38:43.1,1.061710474
38:43.2,1.072394096
38:43.3,1.081206373
38:43.4,1.0840377284999998
38:43.5,1.0815402994999999
38:43.6,1.090937017
38:43.7,1.089191376
38:43.8,1.088700782
38:43.9,1.086116276
38:44.0,1.076992003
38:44.1,1.070004529
38:44.2,1.0637333629999999
38:44.3,1.046064403
38:44.4,1.043095978
38:44.5,1.054542552
38:44.6,1.0457087994999998
38:44.7,1.0500010770000001
38:44.8,1.061134409
38:44.9,1.071863326
38:45.0,1.076127902
38:45.1,1.0708491274999998
38:45.2,1.076353844
38:45.3,1.0824181880000001
38:45.4,1.077661525
38:45.5,1.0750580379999999
38:45.6,1.086878375
38:45.7,1.092792349
38:45.8,1.0960932245000001
38:45.9,1.1032163650000002
38:46.0,1.112662501
38:46.1,1.124013508
38:46.2,1.128420771
38:46.3,1.1267951379999999
38:46.4,1.13170431
38:46.5,1.130537584
38:46.6,1.12768657
38:46.7,1.12281923
38:46.8,1.125218711
38:46.9,1.123579337
38:47.0,1.132841462
38:47.1,1.126029489
38:47.2,1.119210308
38:47.3,1.1212074804999999
38:47.4,1.1100699619999999
38:47.5,1.10439028
38:47.6,1.1155068510000001
38:47.7,1.124096
38:47.8,1.120919594
38:47.9,1.125868311
38:48.0,1.1242833989999999
38:48.1,1.1104928200000002
38:48.2,1.104060435
38:48.3,1.0976476444999999
38:48.4,1.106722545
38:48.5,1.111081719
38:48.6,1.125014478
38:48.7,1.119889852
38:48.8,1.125665429
38:48.9,1.123702526
38:49.0,1.1226780834999999
38:49.1,1.113285457
38:49.2,1.1286848790000001
38:49.3,1.1307586299999999
38:49.4,1.131525148
38:49.5,1.125848601
38:49.6,1.113902668
38:49.7,1.11133853
38:49.8,1.102042414
38:49.9,1.096662092
